stationcode,fueltype,price,lastupdated
1,DL,183.9,15/05/2025 03:15:48
1,E10,178.9,12/04/2025 06:15:45
1,P95,195.9,20/04/2025 22:45:44
1,P98,203.9,12/04/2025 06:15:45
1,U91,180.9,12/04/2025 06:15:45
10,DL,181.9,13/05/2025 06:35:43
10,E10,169.9,13/05/2025 06:35:43
10,P95,191.9,13/05/2025 06:35:43
10,P98,198.9,13/05/2025 06:35:43
10,U91,173.9,13/05/2025 06:35:43
100,DL,189.9,01/05/2025 05:30:52
100,E10,157.9,17/05/2025 01:31:03
100,P95,177.9,17/05/2025 01:31:03
100,P98,186.9,17/05/2025 01:31:03
100,PDL,193.9,01/05/2025 05:30:52
100,U91,159.9,17/05/2025 01:31:03
1001,DL,163.5,10/05/2025 02:13:16
1001,P95,177.9,14/05/2025 20:17:58
1001,P98,189.9,14/05/2025 20:17:58
1001,PDL,165.5,10/05/2025 02:13:16
1001,U91,153.5,16/05/2025 03:16:30
1003,DL,163.9,12/05/2025 22:13:20
1003,LPG,109.9,14/05/2025 02:52:30
1003,P95,177.9,14/05/2025 09:57:06
1003,P98,189.9,14/05/2025 09:57:06
1003,PDL,166.9,12/05/2025 22:13:20
1003,U91,153.5,16/05/2025 03:15:59
1005,E10,152.3,17/05/2025 19:38:08
1005,P98,179.3,16/05/2025 06:42:35
1005,PDL,157.3,06/05/2025 13:29:33
1005,U91,153.3,17/05/2025 19:38:08
1006,E10,155.9,15/05/2025 03:39:25
1006,P98,178.9,15/05/2025 03:39:25
1006,PDL,169.9,14/05/2025 20:09:35
1006,U91,156.9,15/05/2025 03:39:25
101,DL,169.9,16/05/2025 03:00:51
101,E10,151.9,17/05/2025 01:35:40
101,P95,164.9,17/05/2025 01:35:40
101,P98,172.9,17/05/2025 01:35:40
1014,DL,178.5,17/05/2025 00:52:49
1014,E10,165.5,17/05/2025 00:52:49
1014,P98,190.5,17/05/2025 00:52:49
1014,PDL,180.5,17/05/2025 00:52:49
1014,U91,167.5,17/05/2025 00:52:49
102,DL,185.9,01/05/2025 05:00:47
102,E10,165.9,17/05/2025 01:20:40
102,P95,182.9,17/05/2025 01:20:40
102,P98,190.9,17/05/2025 01:20:40
1020,DL,182.9,16/01/2025 07:01:18
1020,E10,172.9,16/01/2025 07:01:18
1020,LPG,120.0,01/12/2023 04:02:54
1020,P95,184.9,09/04/2025 04:45:01
1020,P98,193.9,09/04/2025 04:45:01
1020,PDL,185.9,16/01/2025 07:01:18
1020,U91,174.9,09/04/2025 04:45:01
1025,DL,185.9,03/05/2025 05:14:51
1025,LPG,137.9,31/03/2022 03:53:01
1025,P95,192.9,14/03/2025 04:28:21
1025,P98,197.9,03/05/2025 05:14:51
1025,U91,178.9,03/05/2025 05:14:51
1026,DL,185.9,03/05/2025 05:14:23
1026,P98,197.9,03/05/2025 05:14:23
1026,U91,178.9,03/05/2025 05:14:23
103,DL,187.9,15/05/2025 22:15:48
103,E10,167.9,08/05/2025 05:35:40
103,P95,184.9,08/05/2025 05:35:40
103,P98,192.9,08/05/2025 05:35:40
103,U91,169.9,08/05/2025 05:35:40
1030,DL,177.9,14/05/2025 23:15:57
1030,P95,179.9,14/05/2025 23:15:57
1030,U91,169.9,14/05/2025 23:15:57
1032,B20,249.9,06/08/2024 04:08:44
1032,P98,189.9,05/05/2025 21:01:33
1032,PDL,182.9,15/04/2025 06:54:35
1032,U91,156.9,16/05/2025 20:13:22
1036,DL,165.5,17/05/2025 03:37:52
1036,E10,155.5,17/05/2025 03:37:52
1036,P95,177.5,17/05/2025 03:37:52
1036,U91,157.5,17/05/2025 03:37:52
1037,E10,163.5,15/05/2025 10:38:11
1037,P98,186.5,15/05/2025 10:38:11
1037,PDL,176.5,11/05/2025 21:39:27
1037,U91,165.5,15/05/2025 10:38:11
1039,DL,177.7,24/04/2025 02:08:57
1039,E10,170.7,09/05/2025 17:52:17
1039,P95,185.7,13/05/2025 05:30:03
1039,U91,172.7,24/04/2025 02:08:57
104,DL,175.9,07/05/2025 03:00:45
104,E10,161.9,18/05/2025 05:50:40
104,P95,174.9,18/05/2025 05:50:40
104,P98,182.9,18/05/2025 05:50:40
1041,DL,167.9,11/05/2025 14:23:02
1041,E10,162.9,11/05/2025 14:23:02
1041,P98,184.9,11/05/2025 14:23:02
1041,U91,164.9,11/05/2025 14:23:02
1042,DL,184.0,16/05/2025 00:58:50
1042,P95,198.0,15/04/2025 02:13:33
1042,U91,181.0,16/05/2025 00:11:06
1045,E10,155.9,17/05/2025 01:11:11
1045,P98,184.9,17/05/2025 01:11:11
1045,PDL,167.9,17/05/2025 21:55:04
1045,U91,160.9,17/05/2025 01:11:11
1046,E10,152.9,16/05/2025 13:16:08
1046,P98,180.9,16/05/2025 13:16:08
1046,PDL,167.9,17/05/2025 21:42:46
1046,U91,156.9,16/05/2025 13:16:08
1047,DL,173.5,17/05/2025 06:10:37
1047,E10,161.5,17/05/2025 06:10:37
1047,P98,183.5,17/05/2025 06:10:37
1047,PDL,173.5,17/05/2025 06:10:37
1047,U91,163.5,17/05/2025 06:10:37
1048,E10,163.9,15/05/2025 20:13:21
1048,P98,186.9,15/05/2025 20:13:21
1048,PDL,173.9,15/05/2025 20:13:21
1048,U91,165.9,15/05/2025 20:13:21
1049,E10,163.9,17/05/2025 06:21:18
1049,P98,186.9,17/05/2025 06:21:18
1049,PDL,173.9,25/04/2025 21:12:03
1049,U91,165.9,17/05/2025 06:21:18
105,DL,189.9,12/05/2025 04:15:47
105,E10,159.9,17/05/2025 01:15:44
105,P95,178.9,17/05/2025 01:15:44
105,P98,186.9,17/05/2025 01:15:44
105,U91,161.9,17/05/2025 01:15:44
1050,E10,163.9,15/05/2025 10:20:10
1050,LPG,97.7,15/05/2025 10:20:10
1050,P98,186.9,15/05/2025 10:20:10
1050,PDL,173.9,15/05/2025 10:20:10
1050,U91,165.9,15/05/2025 10:20:10
1051,P98,186.9,15/05/2025 10:28:23
1051,PDL,173.9,15/05/2025 10:28:23
1051,U91,165.9,15/05/2025 10:28:23
1054,DL,179.9,06/05/2025 02:28:32
1054,P95,194.9,06/05/2025 02:28:32
1054,U91,177.9,06/05/2025 02:28:32
1055,DL,184.9,09/05/2025 01:06:31
1055,P95,185.9,06/05/2025 02:21:17
1055,U91,169.9,09/05/2025 01:06:31
1056,DL,187.9,23/04/2025 21:35:01
1056,P98,196.9,10/02/2025 03:17:19
1056,U91,173.9,23/04/2025 21:35:01
1057,DL,191.9,16/04/2025 03:52:36
1057,P95,202.9,22/01/2025 01:54:02
1057,P98,208.9,22/01/2025 01:54:02
1057,U91,190.9,16/04/2025 03:52:36
1058,DL,174.9,09/05/2025 00:24:43
1058,P95,189.9,10/02/2025 03:21:21
1058,U91,176.9,23/03/2025 22:33:45
1059,DL,184.9,09/05/2025 00:27:16
1059,E10,168.9,09/05/2025 00:27:16
1059,P95,186.9,09/05/2025 00:27:16
1059,P98,196.9,10/02/2025 04:01:23
1059,PDL,187.9,09/05/2025 00:27:16
1059,U91,170.9,09/05/2025 00:27:16
1060,DL,188.9,30/04/2025 23:17:13
1060,P98,201.9,22/01/2025 00:51:24
1060,U91,179.9,30/01/2025 03:31:27
1061,DL,193.9,09/05/2025 00:24:06
1061,P98,212.9,19/03/2025 01:29:46
1061,U91,189.9,19/03/2025 01:29:46
1062,DL,184.9,09/05/2025 00:28:15
1062,P95,186.9,09/05/2025 00:28:15
1062,U91,170.9,09/05/2025 00:28:15
1063,DL,182.9,09/05/2025 00:48:23
1063,P95,183.9,06/05/2025 03:38:55
1063,P98,187.9,09/05/2025 00:48:23
1063,U91,167.9,09/05/2025 00:48:23
1065,DL,184.9,14/05/2025 02:45:44
1065,E10,178.9,28/02/2025 00:56:02
1065,LPG,146.9,07/01/2025 21:30:15
1065,P95,198.9,14/05/2025 02:45:44
1065,P98,204.9,10/03/2025 04:02:25
1065,PDL,189.9,14/05/2025 02:45:44
1065,U91,184.9,10/03/2025 04:02:25
1067,DL,179.9,07/05/2025 21:06:18
1067,E10,165.9,15/05/2025 21:57:53
1067,P98,198.9,14/05/2025 21:25:26
1067,U91,178.9,14/05/2025 21:25:26
1069,DL,189.9,07/05/2025 03:37:35
1069,P98,212.9,07/05/2025 03:37:35
1069,U91,189.9,07/05/2025 03:37:35
107,DL,178.9,16/05/2025 03:20:41
107,E10,175.9,12/04/2025 03:05:39
107,P95,192.9,12/04/2025 03:05:39
107,P98,200.9,12/04/2025 03:05:39
107,U91,177.9,12/04/2025 03:05:39
1071,DL,191.9,07/05/2025 02:59:31
1071,P98,212.9,07/05/2025 02:59:31
1071,PDL,194.9,07/05/2025 02:59:31
1071,U91,189.9,07/05/2025 02:59:31
1072,DL,191.9,07/05/2025 05:49:42
1072,P98,212.9,07/05/2025 05:49:42
1072,U91,189.9,07/05/2025 05:49:42
1074,DL,191.9,07/04/2025 03:36:05
1074,PDL,194.9,07/04/2025 03:36:05
1074,U91,184.9,07/04/2025 03:36:05
1075,DL,172.9,07/05/2025 03:33:06
1075,PDL,175.9,07/05/2025 03:33:06
1076,DL,194.9,07/04/2025 06:50:00
1076,U91,187.9,07/04/2025 06:50:00
1078,DL,191.9,07/05/2025 02:13:41
1078,P98,212.9,07/05/2025 02:13:41
1078,PDL,194.9,07/05/2025 02:13:41
1078,U91,189.9,07/05/2025 02:13:41
1079,DL,186.9,07/05/2025 01:45:37
1079,P98,212.9,07/05/2025 01:45:37
1079,PDL,189.9,07/05/2025 01:45:37
1079,U91,189.9,07/05/2025 01:45:37
108,DL,179.9,16/05/2025 03:20:41
108,P98,199.9,12/04/2025 02:00:46
108,U91,176.9,12/04/2025 02:00:46
1081,DL,165.9,11/05/2025 20:35:18
1081,E10,159.9,11/05/2025 20:35:18
1081,P95,171.9,08/05/2025 20:39:49
1081,U91,159.9,11/05/2025 20:35:18
1083,DL,173.9,12/05/2025 06:21:46
1083,P98,190.9,15/05/2025 07:23:06
1083,PDL,174.9,12/05/2025 06:21:46
1083,U91,171.9,12/05/2025 06:21:46
1084,DL,175.9,15/05/2025 07:22:23
1084,P98,195.9,15/05/2025 07:22:23
1084,PDL,176.9,15/05/2025 07:22:23
1084,U91,175.9,15/05/2025 07:22:23
1085,P95,192.9,04/04/2025 06:58:06
1085,P98,200.9,04/04/2025 06:58:06
1085,PDL,179.9,15/05/2025 07:20:50
1085,U91,177.9,04/04/2025 06:58:06
1086,DL,163.7,12/05/2025 17:38:18
1086,E10,154.7,15/05/2025 19:35:10
1086,P95,168.7,15/05/2025 19:35:10
1086,P98,177.7,15/05/2025 19:35:10
1086,PDL,163.7,12/05/2025 17:38:18
1086,U91,156.7,15/05/2025 19:43:30
1089,DL,172.7,15/05/2025 01:39:16
1089,E10,159.7,16/05/2025 15:29:25
1089,P98,185.7,18/05/2025 03:53:02
1089,PDL,172.7,15/05/2025 01:39:16
1089,U91,161.7,18/05/2025 03:53:02
109,DL,188.9,13/05/2025 06:45:50
109,E10,167.9,09/05/2025 03:15:48
109,P98,192.9,09/05/2025 03:15:48
109,U91,169.9,09/05/2025 03:15:48
1099,DL,173.5,13/05/2025 23:51:44
1099,E10,154.5,13/05/2025 23:51:44
1099,P95,169.5,13/05/2025 23:51:44
1099,P98,177.5,13/05/2025 23:51:44
1099,PDL,176.5,13/05/2025 23:51:44
1099,U91,156.5,13/05/2025 23:51:44
11,DL,184.9,13/05/2025 06:45:50
11,E10,186.9,06/05/2025 07:30:45
11,P95,203.9,12/04/2025 05:30:46
11,P98,211.9,12/04/2025 05:30:46
11,U91,188.9,12/04/2025 05:30:46
110,DL,175.9,18/05/2025 05:30:46
110,E10,166.9,08/05/2025 05:45:47
110,P98,191.9,08/05/2025 05:45:47
110,U91,168.9,08/05/2025 05:45:47
1101,E10,167.5,23/04/2025 02:43:04
1101,LPG,105.5,28/02/2023 21:44:58
1101,P98,187.5,23/04/2025 02:43:04
1101,PDL,175.5,15/05/2025 01:17:01
1101,U91,169.5,23/04/2025 02:43:04
1102,DL,182.9,17/04/2025 04:35:51
1102,E10,175.9,17/04/2025 04:35:51
1102,P98,199.9,17/04/2025 04:35:51
1102,PDL,184.9,17/04/2025 04:35:51
1102,U91,177.9,17/04/2025 04:35:51
1103,DL,191.9,14/05/2025 03:47:31
1103,E10,180.9,14/05/2025 03:47:31
1103,P98,202.9,14/05/2025 03:47:31
1103,U91,182.9,14/05/2025 03:47:31
1106,DL,170.9,08/05/2025 21:36:45
1106,P95,180.9,13/05/2025 21:57:02
1106,P98,192.9,13/05/2025 21:57:02
1106,PDL,172.9,08/05/2025 21:36:45
1106,U91,170.9,13/05/2025 21:57:02
1107,DL,170.9,06/05/2025 22:08:20
1107,P95,179.9,06/05/2025 22:08:20
1107,U91,169.9,06/05/2025 22:08:20
1109,DL,177.9,11/05/2025 23:04:53
1109,E10,163.9,16/05/2025 20:55:04
1109,LPG,104.7,15/05/2025 22:01:13
1109,P95,177.9,16/05/2025 20:55:04
1109,P98,187.9,16/05/2025 20:55:04
1109,PDL,179.9,11/05/2025 23:04:53
1109,U91,165.9,16/05/2025 20:55:04
111,DL,199.9,13/04/2025 04:35:38
111,P95,204.9,13/04/2025 04:35:38
111,P98,212.9,13/04/2025 04:35:38
111,U91,189.9,13/04/2025 04:35:38
1110,DL,176.9,13/05/2025 21:34:09
1110,P98,194.9,13/05/2025 21:34:09
1110,U91,172.9,13/05/2025 21:34:09
1111,E10,153.9,15/05/2025 05:11:58
1111,P98,175.9,15/05/2025 05:11:58
1111,PDL,172.9,14/05/2025 00:53:28
1111,U91,155.9,15/05/2025 05:11:58
1112,E10,163.9,16/05/2025 02:39:59
1112,P95,178.9,16/05/2025 23:59:00
1112,P98,188.9,14/05/2025 01:37:51
1112,PDL,174.9,17/05/2025 01:53:48
1112,U91,165.9,16/05/2025 02:39:59
1113,DL,168.5,13/05/2025 00:46:17
1113,E10,149.4,16/05/2025 23:59:32
1113,P95,194.9,13/05/2025 03:03:00
1113,P98,199.9,13/05/2025 03:03:00
1113,PDL,171.5,13/05/2025 00:46:17
1113,U91,151.4,16/05/2025 23:59:04
1114,DL,179.7,09/05/2025 01:58:31
1114,E10,176.7,16/05/2025 00:35:21
1114,P98,198.7,16/05/2025 00:35:21
1114,U91,178.7,16/05/2025 00:35:21
1115,DL,167.5,07/05/2025 01:56:30
1115,E10,161.7,13/05/2025 02:14:42
1115,P95,173.7,12/05/2025 23:45:15
1115,P98,181.7,12/05/2025 23:45:15
1115,U91,163.7,13/05/2025 02:14:42
1116,P98,189.5,13/05/2025 02:24:33
1116,PDL,176.9,05/05/2025 07:26:49
1116,U91,166.9,05/05/2025 07:26:49
1120,DL,177.9,11/05/2025 23:05:33
1120,E10,173.9,15/05/2025 22:03:14
1120,LPG,116.9,10/05/2025 22:02:36
1120,P98,197.9,15/05/2025 22:03:14
1120,PDL,179.9,11/05/2025 23:05:33
1120,U91,175.9,15/05/2025 22:03:14
113,DL,180.9,16/05/2025 02:50:41
113,E10,154.9,17/05/2025 01:15:44
113,P95,171.9,17/05/2025 01:15:44
113,P98,179.9,17/05/2025 01:15:44
1131,P95,199.9,16/05/2025 04:57:54
1131,P98,209.9,16/05/2025 04:57:54
1131,PDL,183.9,11/05/2025 23:05:58
1131,U91,185.9,16/05/2025 19:40:16
1133,E10,160.9,11/05/2025 22:19:59
1133,P95,174.9,11/05/2025 22:19:59
1133,P98,184.9,11/05/2025 22:19:59
1133,PDL,179.9,14/05/2025 03:32:02
1133,U91,164.9,11/05/2025 22:19:59
1135,E10,180.9,15/05/2025 22:36:39
1135,P98,204.9,15/05/2025 22:36:39
1135,PDL,185.9,12/05/2025 22:32:32
1135,U91,182.9,15/05/2025 22:36:39
1139,E10,179.5,17/04/2025 07:38:45
1139,P95,194.9,09/04/2025 23:56:26
1139,P98,201.9,17/04/2025 07:38:45
1139,PDL,189.9,17/04/2025 07:38:45
1139,U91,179.9,17/04/2025 07:38:45
114,DL,173.9,16/05/2025 03:00:51
